province,scenario,feature,feature_value,shap_value,abs_shap_value,rank
Aceh,Adverse,export_intensity_x_d_log_usd_idr,0.04237587322809862,-0.2195787344774835,0.2195787344774835,1
Aceh,Adverse,export_intensity,1.4336126640659357,-0.16017128197382613,0.16017128197382613,2
Aceh,Adverse,d_log_usd_idr,0.0295588022415444,-0.13867465829609107,0.13867465829609107,3
Bali,Adverse,export_intensity_x_d_log_usd_idr,0.03134322963597116,-0.2195787344774835,0.2195787344774835,1
Bali,Adverse,export_intensity,1.0603687314474053,-0.16017128197382613,0.16017128197382613,2
Bali,Adverse,d_log_usd_idr,0.0295588022415444,-0.13867465829609107,0.13867465829609107,3
Banten,Adverse,export_intensity_x_d_log_usd_idr,0.2068882604219654,0.08976593698096576,0.08976593698096576,1
Banten,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,2
Banten,Adverse,d_log_palm_oil,0.036464311358790934,0.07203103018935271,0.07203103018935271,3
Bengkulu,Adverse,export_intensity_x_d_log_usd_idr,0.02763161453371292,-0.2195787344774835,0.2195787344774835,1
Bengkulu,Adverse,export_intensity,0.9348015629292702,-0.16017128197382613,0.16017128197382613,2
Bengkulu,Adverse,d_log_usd_idr,0.0295588022415444,-0.13867465829609107,0.13867465829609107,3
Di Yogyakarta,Adverse,export_intensity_x_d_log_usd_idr,0.041757592459546466,-0.2195787344774835,0.2195787344774835,1
Di Yogyakarta,Adverse,export_intensity,1.412695687677658,-0.16017128197382613,0.16017128197382613,2
Di Yogyakarta,Adverse,d_log_usd_idr,0.0295588022415444,-0.1327635449255494,0.1327635449255494,3
Dki Jakarta,Adverse,export_intensity_x_d_log_usd_idr,0.0553091019041222,-0.2195787344774835,0.2195787344774835,1
Dki Jakarta,Adverse,export_intensity,1.8711550438395703,-0.16017128197382613,0.16017128197382613,2
Dki Jakarta,Adverse,d_log_usd_idr,0.0295588022415444,-0.13867465829609107,0.13867465829609107,3
Gorontalo,Adverse,export_intensity_x_d_log_usd_idr,0.016273050001861647,0.06520491608169042,0.06520491608169042,1
Gorontalo,Adverse,d_log_palm_oil,0.036464311358790934,0.05995062554200886,0.05995062554200886,2
Gorontalo,Adverse,export_intensity,0.5505314413244441,-0.05484945690273217,0.05484945690273217,3
Jambi,Adverse,export_intensity_x_d_log_usd_idr,0.10704430335412968,0.08976593698096576,0.08976593698096576,1
Jambi,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,2
Jambi,Adverse,d_log_palm_oil,0.036464311358790934,0.07606602287902488,0.07606602287902488,3
Jawa Barat,Adverse,export_intensity_x_d_log_usd_idr,0.1983086744040346,0.08976593698096576,0.08976593698096576,1
Jawa Barat,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,2
Jawa Barat,Adverse,d_log_palm_oil,0.036464311358790934,0.07794214355989441,0.07794214355989441,3
Jawa Tengah,Adverse,export_intensity_x_d_log_usd_idr,0.09289140142750282,-0.24300163000945532,0.24300163000945532,1
Jawa Tengah,Adverse,d_log_usd_idr,0.0295588022415444,-0.20258598979407275,0.20258598979407275,2
Jawa Tengah,Adverse,export_intensity,3.1425969384153705,-0.1075138016588655,0.1075138016588655,3
Jawa Timur,Adverse,export_intensity_x_d_log_usd_idr,0.12121266069471476,0.08976593698096576,0.08976593698096576,1
Jawa Timur,Adverse,d_log_palm_oil,0.036464311358790934,0.08197713624956658,0.08197713624956658,2
Jawa Timur,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,3
Kalimantan Barat,Adverse,export_intensity,3.51850814928718,0.12719443388918317,0.12719443388918317,1
Kalimantan Barat,Adverse,export_intensity_x_d_log_usd_idr,0.10400288657004214,-0.12073957721126662,0.12073957721126662,2
Kalimantan Barat,Adverse,d_log_usd_idr,0.0295588022415444,-0.09798584008155141,0.09798584008155141,3
Kalimantan Selatan,Adverse,export_intensity_x_d_log_usd_idr,0.6008323339282508,0.08976593698096576,0.08976593698096576,1
Kalimantan Selatan,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,2
Kalimantan Selatan,Adverse,d_log_palm_oil,0.036464311358790934,0.07203103018935271,0.07203103018935271,3
Kalimantan Tengah,Adverse,export_intensity_x_d_log_usd_idr,0.2668209990289955,0.08976593698096576,0.08976593698096576,1
Kalimantan Tengah,Adverse,d_log_nickel,0.0147794011207722,0.08087855761495369,0.08087855761495369,2
Kalimantan Tengah,Adverse,d_log_palm_oil,0.036464311358790934,0.07203103018935271,0.07203103018935271,3
