mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,params_json
0.012926006317138672,0.0034083192618016792,0.04213604927062988,0.004866396994880579,balanced,entropy,,,15,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.6046511627906976,0.4888888888888889,0.5217391304347826,0.5957446808510638,0.5833333333333334,0.5588714392597532,0.04545364453764181,1,0.6514285714285715,0.6832298136645962,0.62,0.6596858638743456,0.6417112299465241,0.6512110957828074,0.020791571540056317,0.7625272331154684,0.6748366013071896,0.7491349480968859,0.7479815455594002,0.79,0.7448960656157888,0.03816029301437781,39,0.8807881773399016,0.8836030964109782,0.864185110663984,0.8697703462152224,0.8752450980392158,0.8747183657338603,0.007092120396371676,0.52,0.4074074074074074,0.41379310344827586,0.4666666666666667,0.4666666666666667,0.45490676883780334,0.04113451581113651,298,0.5428571428571428,0.6043956043956044,0.4806201550387597,0.525,0.5128205128205128,0.5331386830224039,0.04101038719253186,0.7222222222222222,0.6111111111111112,0.7058823529411765,0.8235294117647058,0.7777777777777778,0.7281045751633988,0.07181814027935784,54,0.8142857142857143,0.7857142857142857,0.8732394366197183,0.8873239436619719,0.8571428571428571,0.8435412474849094,0.03790449693136,0.7536231884057971,0.6666666666666666,0.6764705882352942,0.7205882352941176,0.7058823529411765,0.7046462063086105,0.0312753321557021,353,0.7765567765567766,0.8131868131868132,0.7226277372262774,0.7627737226277372,0.7554744525547445,0.7661239004304699,0.029462903136763367,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 15, ""min_samples_split"": 10}"
0.037781906127929685,0.02103700423759556,0.09841475486755372,0.042050820866676615,balanced,entropy,,,15,20,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.6046511627906976,0.4888888888888889,0.5217391304347826,0.5957446808510638,0.5833333333333334,0.5588714392597532,0.04545364453764181,1,0.6514285714285715,0.6832298136645962,0.62,0.6596858638743456,0.6417112299465241,0.6512110957828074,0.020791571540056317,0.7625272331154684,0.6748366013071896,0.7491349480968859,0.7479815455594002,0.79,0.7448960656157888,0.03816029301437781,39,0.8807881773399016,0.8836030964109782,0.864185110663984,0.8697703462152224,0.8752450980392158,0.8747183657338603,0.007092120396371676,0.52,0.4074074074074074,0.41379310344827586,0.4666666666666667,0.4666666666666667,0.45490676883780334,0.04113451581113651,298,0.5428571428571428,0.6043956043956044,0.4806201550387597,0.525,0.5128205128205128,0.5331386830224039,0.04101038719253186,0.7222222222222222,0.6111111111111112,0.7058823529411765,0.8235294117647058,0.7777777777777778,0.7281045751633988,0.07181814027935784,54,0.8142857142857143,0.7857142857142857,0.8732394366197183,0.8873239436619719,0.8571428571428571,0.8435412474849094,0.03790449693136,0.7536231884057971,0.6666666666666666,0.6764705882352942,0.7205882352941176,0.7058823529411765,0.7046462063086105,0.0312753321557021,353,0.7765567765567766,0.8131868131868132,0.7226277372262774,0.7627737226277372,0.7554744525547445,0.7661239004304699,0.029462903136763367,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 15, ""min_samples_split"": 20}"
0.01546306610107422,0.008350759925435311,0.07110638618469238,0.02209898406413091,balanced,entropy,,sqrt,15,10,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 10}",0.6857142857142857,0.5306122448979592,0.5365853658536586,0.5405405405405406,0.4888888888888889,0.5564682651790666,0.06721467370519889,3,0.6153846153846154,0.611764705882353,0.6363636363636364,0.6214689265536724,0.6242038216560509,0.6218371411680657,0.008483452867463357,0.8910675381263616,0.7543572984749455,0.7768166089965398,0.7583621683967705,0.7272222222222222,0.7815651672433679,0.05700021225642303,1,0.8363124560168895,0.8341660802251935,0.8375078054534101,0.8370915146048706,0.8418417366946779,0.8373839185990084,0.0025090040289898453,0.7058823529411765,0.41935483870967744,0.4583333333333333,0.5,0.4074074074074074,0.4981955864783189,0.1087974310960329,233,0.5252525252525253,0.52,0.5333333333333333,0.5188679245283019,0.5632183908045977,0.5321344347837517,0.01636004376713668,0.6666666666666666,0.7222222222222222,0.6470588235294118,0.5882352941176471,0.6111111111111112,0.6470588235294118,0.046446635305725126,205,0.7428571428571429,0.7428571428571429,0.7887323943661971,0.7746478873239436,0.7,0.7498189134808853,0.03069069428201959,0.8405797101449275,0.6666666666666666,0.7205882352941176,0.75,0.6617647058823529,0.727919863597613,0.06536357586268565,279,0.7619047619047619,0.7582417582417582,0.7664233576642335,0.7554744525547445,0.7846715328467153,0.7653431726424428,0.01033824645602914,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""min_samples_split"": 10}"
0.011793994903564453,0.007702699751761811,0.04502739906311035,0.025376677118873706,balanced,entropy,,sqrt,15,20,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 20}",0.6857142857142857,0.5306122448979592,0.5365853658536586,0.5405405405405406,0.4888888888888889,0.5564682651790666,0.06721467370519889,3,0.6153846153846154,0.611764705882353,0.6363636363636364,0.6214689265536724,0.6242038216560509,0.6218371411680657,0.008483452867463357,0.8910675381263616,0.7543572984749455,0.7768166089965398,0.7583621683967705,0.7272222222222222,0.7815651672433679,0.05700021225642303,1,0.8363124560168895,0.8341660802251935,0.8375078054534101,0.8370915146048706,0.8418417366946779,0.8373839185990084,0.0025090040289898453,0.7058823529411765,0.41935483870967744,0.4583333333333333,0.5,0.4074074074074074,0.4981955864783189,0.1087974310960329,233,0.5252525252525253,0.52,0.5333333333333333,0.5188679245283019,0.5632183908045977,0.5321344347837517,0.01636004376713668,0.6666666666666666,0.7222222222222222,0.6470588235294118,0.5882352941176471,0.6111111111111112,0.6470588235294118,0.046446635305725126,205,0.7428571428571429,0.7428571428571429,0.7887323943661971,0.7746478873239436,0.7,0.7498189134808853,0.03069069428201959,0.8405797101449275,0.6666666666666666,0.7205882352941176,0.75,0.6617647058823529,0.727919863597613,0.06536357586268565,279,0.7619047619047619,0.7582417582417582,0.7664233576642335,0.7554744525547445,0.7846715328467153,0.7653431726424428,0.01033824645602914,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""min_samples_split"": 20}"
0.012828350067138672,0.0031735052512784885,0.06252636909484863,0.024662074377742982,balanced,entropy,,,15,40,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 15, 'min_samples_split': 40}",0.5652173913043478,0.4888888888888889,0.5454545454545454,0.5957446808510638,0.5769230769230769,0.5544457166843845,0.03662076997921132,5,0.6145833333333334,0.6832298136645962,0.6162162162162163,0.6596858638743456,0.6206896551724138,0.638880976452181,0.027693514368279843,0.7510893246187365,0.6748366013071896,0.765282583621684,0.7479815455594001,0.7838888888888889,0.7446157887991798,0.03712644014852533,41,0.8678747361013371,0.8836030964109782,0.8500312218136404,0.8666481648511761,0.8594887955182073,0.865529202939068,0.01104620448465544,0.4642857142857143,0.4074074074074074,0.4444444444444444,0.4666666666666667,0.4411764705882353,0.4447961406784936,0.0213040205773953,335,0.48360655737704916,0.6043956043956044,0.5,0.525,0.47368421052631576,0.5173372744597938,0.04686534439286172,0.7222222222222222,0.6111111111111112,0.7058823529411765,0.8235294117647058,0.8333333333333334,0.73921568627451,0.08219197880976922,17,0.8428571428571429,0.7857142857142857,0.8028169014084507,0.8873239436619719,0.9,0.8437424547283703,0.044960450772733994,0.7101449275362319,0.6666666666666666,0.7058823529411765,0.7205882352941176,0.6764705882352942,0.6959505541346974,0.0207082173708411,386,0.7289377289377289,0.8131868131868132,0.7408759124087592,0.7627737226277372,0.718978102189781,0.7529504558701638,0.033470708930907214,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 15, ""min_samples_split"": 40}"
0.008460235595703126,0.002994882696581529,0.04950728416442871,0.03029757101141983,balanced,entropy,,sqrt,15,40,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 15, 'min_samples_split': 40}",0.5652173913043478,0.45454545454545453,0.5217391304347826,0.5405405405405406,0.6666666666666666,0.5497418366983584,0.06905371132321629,6,0.6171428571428571,0.6385542168674698,0.5876777251184834,0.6214689265536724,0.6113989637305699,0.6152485378826105,0.01649487975858414,0.7968409586056645,0.7140522875816993,0.7139561707035755,0.7583621683967705,0.8838888888888888,0.7734200948353197,0.06330738863557166,3,0.8216396903589022,0.8497536945812808,0.8245680982446403,0.8370915146048706,0.832843137254902,0.8331792270089192,0.009974410965621332,0.4642857142857143,0.38461538461538464,0.41379310344827586,0.5,0.5151515151515151,0.45556914350017796,0.04975904349857346,295,0.5142857142857142,0.5520833333333334,0.44285714285714284,0.5188679245283019,0.4796747967479675,0.501553782350492,0.03725346327924904,0.7222222222222222,0.5555555555555556,0.7058823529411765,0.5882352941176471,0.9444444444444444,0.7032679738562091,0.13680911110198776,103,0.7714285714285715,0.7571428571428571,0.8732394366197183,0.7746478873239436,0.8428571428571429,0.8038631790744466,0.04565505415411161,0.7101449275362319,0.6521739130434783,0.6764705882352942,0.75,0.75,0.7077578857630009,0.03909722089540993,345,0.7545787545787546,0.7802197802197802,0.6824817518248175,0.7554744525547445,0.7262773722627737,0.7398064222881741,0.03336495620068403,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 15, ""min_samples_split"": 40}"
0.020226430892944337,0.018378147214162498,0.04522452354431152,0.01738793975307999,balanced,gini,,sqrt,5,60,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 60}",0.5641025641025641,0.47619047619047616,0.5789473684210527,0.5,0.625,0.5488480817428185,0.054042656632337406,7,0.6211180124223602,0.5752212389380531,0.6114649681528662,0.6019417475728155,0.5748502994011976,0.5969192532974585,0.01886915878253235,0.7864923747276689,0.6742919389978214,0.7226066897347174,0.6557093425605537,0.8661111111111112,0.7410422914263745,0.07718175024011056,53,0.8263546798029556,0.8128430682617874,0.8160688267536252,0.8181155900922777,0.7968837535014005,0.8140531836824094,0.009676223247786917,0.5238095238095238,0.3333333333333333,0.5238095238095238,0.3870967741935484,0.5,0.4536098310291859,0.07861102230304542,304,0.5494505494505495,0.4166666666666667,0.5581395348837209,0.45925925925925926,0.4948453608247423,0.4956722742169878,0.05359615473290541,0.6111111111111112,0.8333333333333334,0.6470588235294118,0.7058823529411765,0.8333333333333334,0.7261437908496733,0.0926031007749892,57,0.7142857142857143,0.9285714285714286,0.676056338028169,0.8732394366197183,0.6857142857142857,0.7755734406438632,0.10457680232218898,0.7536231884057971,0.5217391304347826,0.7647058823529411,0.6470588235294118,0.7352941176470589,0.6844842284739983,0.09130605920787808,418,0.7765567765567766,0.6483516483516484,0.7773722627737226,0.7007299270072993,0.7408759124087592,0.7287773054196413,0.04908292123354103,"{""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 60}"
0.01387791633605957,0.0016754529823091522,0.039475202560424805,0.0064584976546726396,balanced,entropy,,,5,40,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 40}",0.5416666666666666,0.46808510638297873,0.5238095238095238,0.5652173913043478,0.6382978723404256,0.5474153121007884,0.05560596278114485,8,0.6464646464646465,0.6976744186046512,0.6703910614525139,0.6847826086956522,0.6559139784946236,0.6710453427424174,0.01860869181136737,0.7238562091503268,0.6699346405228758,0.6764705882352942,0.7058823529411764,0.7744444444444445,0.7101176470588235,0.037660114838480946,318,0.8888810696692471,0.88972554539057,0.8850343439950046,0.8804551446610699,0.8780812324929972,0.8844354672417778,0.004567849126626435,0.43333333333333335,0.3793103448275862,0.44,0.4482758620689655,0.5172413793103449,0.443632183908046,0.044037337477260616,352,0.5,0.5882352941176471,0.5555555555555556,0.5575221238938053,0.5258620689655172,0.5454350085065051,0.030092617831005124,0.7222222222222222,0.6111111111111112,0.6470588235294118,0.7647058823529411,0.8333333333333334,0.7156862745098039,0.07991515856625804,65,0.9142857142857143,0.8571428571428571,0.8450704225352113,0.8873239436619719,0.8714285714285714,0.8750503018108653,0.024177040940708043,0.6811594202898551,0.6376811594202898,0.7058823529411765,0.7058823529411765,0.75,0.6961210571184997,0.03669490018482972,372,0.7435897435897436,0.8095238095238095,0.7846715328467153,0.7883211678832117,0.7664233576642335,0.7785059223015427,0.022188244775130487,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 40}"
0.02292790412902832,0.021319762506719443,0.091102933883667,0.04215356870555748,balanced,entropy,,,10,40,"{'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': None, 'min_samples_leaf': 10, 'min_samples_split': 40}",0.5333333333333333,0.46808510638297873,0.5333333333333333,0.5652173913043478,0.6363636363636364,0.5472665601435258,0.05462324334687334,9,0.6178010471204188,0.6976744186046512,0.6458333333333334,0.6888888888888889,0.6333333333333333,0.6567062042561251,0.03128015807539943,0.7374727668845316,0.6699346405228758,0.6995386389850058,0.7139561707035755,0.7994444444444444,0.7240693323080866,0.04357902108869203,193,0.8702674173117523,0.88972554539057,0.866648164851176,0.8728925275792687,0.8606442577030812,0.8720355825671696,0.009752764732354785,0.4444444444444444,0.3793103448275862,0.42857142857142855,0.4482758620689655,0.5384615384615384,0.4478127236747926,0.05155884166536024,321,0.48760330578512395,0.5882352941176471,0.512396694214876,0.5688073394495413,0.5181818181818182,0.5350448903498013,0.03746232763541284,0.6666666666666666,0.6111111111111112,0.7058823529411765,0.7647058823529411,0.7777777777777778,0.7052287581699346,0.06188130916886076,91,0.8428571428571429,0.8571428571428571,0.8732394366197183,0.8732394366197183,0.8142857142857143,0.8521529175050301,0.022065894861956724,0.6956521739130435,0.6376811594202898,0.6911764705882353,0.7058823529411765,0.7647058823529411,0.6990196078431372,0.040489612488768194,361,0.7326007326007326,0.8095238095238095,0.7518248175182481,0.7956204379562044,0.7591240875912408,0.7697387770380472,0.02851499641989362,"{""class_weight"": ""balanced"", ""criterion"": ""entropy"", ""max_depth"": null, ""max_features"": null, ""min_samples_leaf"": 10, ""min_samples_split"": 40}"
0.013178396224975585,0.007160317397094615,0.07631497383117676,0.03090063629269265,balanced,gini,5,sqrt,5,60,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 60}",0.5454545454545454,0.47619047619047616,0.5789473684210527,0.5,0.625,0.5451184780132149,0.05350198279686517,10,0.5729166666666666,0.5752212389380531,0.6114649681528662,0.6019417475728155,0.5748502994011976,0.5872789841463198,0.016162277321304458,0.7794117647058824,0.6742919389978214,0.7226066897347174,0.6557093425605537,0.8661111111111112,0.7396261694220172,0.07639580125979462,63,0.8117522871217453,0.8128430682617874,0.8160688267536252,0.8181155900922777,0.7968837535014005,0.8111327051461672,0.007476199910126351,0.46153846153846156,0.3333333333333333,0.5238095238095238,0.3870967741935484,0.5,0.4411556185749735,0.07107431802511369,363,0.45081967213114754,0.4166666666666667,0.5581395348837209,0.45925925925925926,0.4948453608247423,0.47594609875310734,0.048034949870657095,0.6666666666666666,0.8333333333333334,0.6470588235294118,0.7058823529411765,0.8333333333333334,0.7372549019607844,0.080702414224536,39,0.7857142857142857,0.9285714285714286,0.676056338028169,0.8732394366197183,0.6857142857142857,0.7898591549295775,0.10000778079029313,0.7101449275362319,0.5217391304347826,0.7647058823529411,0.6470588235294118,0.7352941176470589,0.6757885763000853,0.08623709886426599,469,0.6996336996336996,0.6483516483516484,0.7773722627737226,0.7007299270072993,0.7408759124087592,0.7133926900350258,0.043425121133945636,"{""class_weight"": ""balanced"", ""criterion"": ""gini"", ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 60}"
